file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_008_F_PBR_ENG_ST2,0,0,0.0,0.67,0.67,1.0,1,0.67,0.0,0.67,1e-05,0,
ALL_008_F_PBR_ENG_ST2,1,0,1.05,1.38,0.33,1.0,1,0.33,1.05,1.38,1e-06,0,
ALL_008_F_PBR_ENG_ST2,2,0,2.2,2.38,0.18,1.0,1,0.18,2.2,2.38,3e-06,0,
ALL_008_F_PBR_ENG_ST2,3,0,3.17,3.55,0.38,1.0,1,0.38,3.17,3.55,5.4e-05,0,
ALL_008_F_PBR_ENG_ST2,4,0,4.34,5.0,0.66,1.0,1,0.66,4.34,5.0,0.000153,0,
ALL_008_F_PBR_ENG_ST2,5,0,7.17,7.56,0.39,1.0,1,0.39,7.17,7.56,9e-06,0,
ALL_008_F_PBR_ENG_ST2,6,0,8.74,8.93,0.19,1.0,1,0.19,8.74,8.93,2.3e-05,0,
ALL_008_F_PBR_ENG_ST2,8,0,13.6,13.98,0.38,1.0,1,0.38,13.6,13.98,4.1e-05,0,
ALL_008_F_PBR_ENG_ST2,9,0,15.17,15.76,0.59,1.0,1,0.59,15.17,15.76,0.999254,1,
ALL_008_F_PBR_ENG_ST2,10,0,16.65,16.88,0.23,1.0,1,0.23,16.65,16.88,2e-06,0,
ALL_008_F_PBR_ENG_ST2,11,0,17.66,18.28,0.62,1.0,1,0.62,17.66,18.28,0.012049,0,
ALL_008_F_PBR_ENG_ST2,12,0,20.57,20.84,0.27,1.0,1,0.27,20.57,20.84,2.1e-05,0,
ALL_008_F_PBR_ENG_ST2,14,0,25.71,26.28,0.57,1.0,1,0.57,25.71,26.28,2.6e-05,0,
ALL_008_F_PBR_ENG_ST2,15,0,26.85,27.27,0.42,1.0,1,0.42,26.85,27.27,0.000182,0,
ALL_008_F_PBR_ENG_ST2,16,0,27.88,28.05,0.17,1.0,1,0.17,27.88,28.05,3e-06,0,
ALL_008_F_PBR_ENG_ST2,17,0,29.14,29.49,0.35,1.0,1,0.35,29.14,29.49,2.4e-05,0,
ALL_008_F_PBR_ENG_ST2,18,0,30.34,30.74,0.4,1.0,1,0.4,30.34,30.74,2.4e-05,0,
ALL_008_F_PBR_ENG_ST2,19,0,30.78,31.12,0.34,1.0,1,0.34,30.78,31.12,1e-06,0,
ALL_008_F_PBR_ENG_ST2,21,0,34.68,35.36,0.68,1.0,1,0.68,34.68,35.36,0.001692,0,
ALL_008_F_PBR_ENG_ST2,23,0,38.98,39.32,0.34,1.0,1,0.34,38.98,39.32,1e-05,0,
ALL_008_F_PBR_ENG_ST2,24,0,40.88,41.25,0.37,1.0,1,0.37,40.88,41.25,0.001792,0,
ALL_008_F_PBR_ENG_ST2,25,0,44.23,45.14,0.91,1.0,1,0.91,44.23,45.14,9e-06,0,
ALL_008_F_PBR_ENG_ST2,26,0,46.11,46.69,0.58,1.0,1,0.58,46.11,46.69,0.05938,0,
ALL_008_F_PBR_ENG_ST2,27,0,47.56,47.76,0.2,1.0,1,0.2,47.56,47.76,3e-06,0,
ALL_008_F_PBR_ENG_ST2,28,0,48.79,49.32,0.53,1.0,1,0.53,48.79,49.32,0.386651,0,
ALL_008_F_PBR_ENG_ST2,29,0,49.88,50.66,0.78,1.0,1,0.78,49.88,50.66,0.011709,0,
ALL_008_F_PBR_ENG_ST2,31,0,55.38,56.41,1.03,1.0,1,1.03,55.38,56.41,0.004696,0,
ALL_008_F_PBR_ENG_ST2,32,0,57.63,58.56,0.93,1.0,1,0.93,57.63,58.56,0.000437,0,
ALL_008_F_PBR_ENG_ST2,33,0,59.0,59.2,0.2,1.0,1,0.2,59.0,59.2,0.0,0,
ALL_008_F_PBR_ENG_ST2,34,0,60.1,60.91,0.81,1.0,1,0.81,60.1,60.91,0.08646,0,
ALL_008_F_PBR_ENG_ST2,35,0,60.94,61.37,0.43,1.0,1,0.43,60.94,61.37,3.6e-05,0,
ALL_008_F_PBR_ENG_ST2,36,0,62.04,62.73,0.69,1.0,1,0.69,62.04,62.73,2e-06,0,
ALL_008_F_PBR_ENG_ST2,37,0,63.48,64.55,1.07,1.0,1,1.07,63.48,64.55,0.004234,0,
ALL_008_F_PBR_ENG_ST2,38,0,66.01,66.38,0.37,1.0,1,0.37,66.01,66.38,0.000148,0,
ALL_008_F_PBR_ENG_ST2,39,0,67.03,67.61,0.58,1.0,1,0.58,67.03,67.61,4.6e-05,0,
ALL_008_F_PBR_ENG_ST2,40,0,68.37,69.16,0.79,1.0,1,0.79,68.37,69.16,3e-06,0,
ALL_008_F_PBR_ENG_ST2,41,0,69.78,70.11,0.33,1.0,1,0.33,69.78,70.11,2.8e-05,0,
ALL_008_F_PBR_ENG_ST2,42,0,71.28,72.41,1.13,1.0,1,1.13,71.28,72.41,4e-05,0,
ALL_008_F_PBR_ENG_ST2,43,0,73.16,73.33,0.17,1.0,1,0.17,73.16,73.33,2e-06,0,
ALL_008_F_PBR_ENG_ST2,44,0,74.61,75.01,0.4,1.0,1,0.4,74.61,75.01,1.6e-05,0,
ALL_008_F_PBR_ENG_ST2,45,0,75.54,75.68,0.14,1.0,1,0.14,75.54,75.68,3e-06,0,
ALL_008_F_PBR_ENG_ST2,46,0,76.47,76.81,0.34,1.0,1,0.34,76.47,76.81,6e-06,0,
ALL_008_F_PBR_ENG_ST2,47,0,77.66,78.28,0.62,1.0,1,0.62,77.66,78.28,3.6e-05,0,
ALL_008_F_PBR_ENG_ST2,48,0,79.15,79.83,0.68,1.0,1,0.68,79.15,79.83,0.000674,0,
ALL_008_F_PBR_ENG_ST2,49,0,80.87,81.65,0.78,1.0,1,0.78,80.87,81.65,3.8e-05,0,
ALL_008_F_PBR_ENG_ST2,50,0,82.04,82.45,0.41,1.0,1,0.41,82.04,82.45,0.000419,0,
ALL_008_F_PBR_ENG_ST2,51,0,83.24,84.12,0.88,1.0,1,0.88,83.24,84.12,7.3e-05,0,
ALL_008_F_PBR_ENG_ST2,52,0,84.59,85.75,1.16,1.0,1,1.16,84.59,85.75,6.7e-05,0,
ALL_008_F_PBR_ENG_ST2,53,0,86.46,86.58,0.12,1.0,1,0.12,86.46,86.58,3e-06,0,
ALL_008_F_PBR_ENG_ST2,54,0,87.28,88.18,0.9,1.0,1,0.9,87.28,88.18,0.035368,0,
ALL_008_F_PBR_ENG_ST2,55,0,90.3,90.73,0.43,1.0,1,0.43,90.3,90.73,0.006687,0,
ALL_008_F_PBR_ENG_ST2,56,0,92.16,92.28,0.12,1.0,1,0.12,92.16,92.28,3e-06,0,
ALL_008_F_PBR_ENG_ST2,57,0,92.78,93.54,0.76,1.0,1,0.76,92.78,93.54,0.002238,0,
ALL_008_F_PBR_ENG_ST2,58,0,94.4,94.97,0.57,1.0,1,0.57,94.4,94.97,0.000784,0,
ALL_008_F_PBR_ENG_ST2,59,0,95.85,96.31,0.46,1.0,1,0.46,95.85,96.31,0.000148,0,
ALL_008_F_PBR_ENG_ST2,60,0,96.9,97.37,0.47,1.0,1,0.47,96.9,97.37,0.0004,0,
ALL_008_F_PBR_ENG_ST2,61,0,98.33,98.98,0.65,1.0,1,0.65,98.33,98.98,8.5e-05,0,
ALL_008_F_PBR_ENG_ST2,62,0,99.56,100.16,0.6,1.0,1,0.6,99.56,100.16,0.02542,0,
ALL_008_F_PBR_ENG_ST2,63,0,100.82,101.55,0.73,1.0,1,0.73,100.82,101.55,4.3e-05,0,
ALL_008_F_PBR_ENG_ST2,65,0,107.05,107.71,0.66,1.0,1,0.66,107.05,107.71,0.030145,0,
ALL_008_F_PBR_ENG_ST2,66,0,108.09,109.2,1.11,1.0,1,1.11,108.09,109.2,1e-06,0,
ALL_008_F_PBR_ENG_ST2,67,0,110.25,111.18,0.93,1.0,1,0.93,110.25,111.18,0.000742,0,
ALL_008_F_PBR_ENG_ST2,69,0,118.53,119.2,0.67,1.0,1,0.67,118.53,119.2,0.013466,0,
ALL_008_F_PBR_ENG_ST2,70,0,120.24,120.39,0.15,1.0,1,0.15,120.24,120.39,2e-06,0,
ALL_008_F_PBR_ENG_ST2,71,0,121.15,121.7,0.55,1.0,1,0.55,121.15,121.7,0.023857,0,
ALL_008_F_PBR_ENG_ST2,72,0,122.21,122.98,0.77,1.0,1,0.77,122.21,122.98,0.000392,0,
ALL_008_F_PBR_ENG_ST2,73,0,123.35,123.73,0.38,1.0,1,0.38,123.35,123.73,1e-05,0,
ALL_008_F_PBR_ENG_ST2,74,0,124.5,124.69,0.19,1.0,1,0.19,124.5,124.69,2e-06,0,
ALL_008_F_PBR_ENG_ST2,75,0,125.44,125.85,0.41,1.0,1,0.41,125.44,125.85,5.7e-05,0,
ALL_008_F_PBR_ENG_ST2,76,0,126.83,127.9691,1.1391,1.0,1,1.1391,126.83,127.9691,0.040503,0,
