file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_001_F_GER_ENG_ST1,0,0,0.0,0.51,0.51,1.0,1,0.51,0.0,0.51,0.045991,0,
ALL_001_F_GER_ENG_ST1,1,0,2.78,3.26,0.48,1.0,1,0.48,2.78,3.26,0.041158,0,
ALL_001_F_GER_ENG_ST1,2,0,5.0,5.2,0.2,1.0,1,0.2,5.0,5.2,0.12242,0,
ALL_001_F_GER_ENG_ST1,3,0,5.29,5.73,0.44,1.0,1,0.44,5.29,5.73,0.065533,0,
ALL_001_F_GER_ENG_ST1,6,0,16.09,16.55,0.46,0.8348,1,0.384,16.09,16.474,0.020307,0,
ALL_001_F_GER_ENG_ST1,7,0,17.78,18.93,1.15,1.0,1,1.15,17.78,18.93,0.043896,0,
ALL_001_F_GER_ENG_ST1,8,0,21.28,22.08,0.8,1.0,1,0.8,21.28,22.08,0.027357,0,
ALL_001_F_GER_ENG_ST1,9,0,22.92,23.46,0.54,0.3259,1,0.176,22.92,23.096,0.051456,0,
ALL_001_F_GER_ENG_ST1,10,0,24.51,25.09,0.58,1.0,1,0.58,24.51,25.09,0.028821,0,
ALL_001_F_GER_ENG_ST1,11,0,26.11,26.35,0.24,1.0,1,0.24,26.11,26.35,0.026617,0,
ALL_001_F_GER_ENG_ST1,13,0,29.35,29.59,0.24,1.0,1,0.24,29.35,29.59,0.064079,0,
ALL_001_F_GER_ENG_ST1,14,0,30.27,31.01,0.74,1.0,1,0.74,30.27,31.01,0.019886,0,
ALL_001_F_GER_ENG_ST1,15,0,31.64,31.82,0.18,1.0,1,0.18,31.64,31.82,0.008529,0,
ALL_001_F_GER_ENG_ST1,16,0,32.14,32.44,0.3,1.0,1,0.3,32.14,32.44,0.025877,0,
ALL_001_F_GER_ENG_ST1,17,0,32.85,34.02,1.17,1.0,1,1.17,32.85,34.02,0.082263,0,
ALL_001_F_GER_ENG_ST1,18,0,34.73,35.54,0.81,0.2889,1,0.234,35.306,35.54,0.091865,0,
ALL_001_F_GER_ENG_ST1,19,0,36.86,37.0,0.14,1.0,1,0.14,36.86,37.0,0.016357,0,
ALL_001_F_GER_ENG_ST1,20,0,37.63,38.21,0.58,0.9655,1,0.56,37.63,38.19,0.030583,0,
ALL_001_F_GER_ENG_ST1,21,0,40.86,41.91,1.05,1.0,1,1.05,40.86,41.91,0.070743,0,
ALL_001_F_GER_ENG_ST1,22,0,43.87,44.1,0.23,1.0,1,0.23,43.87,44.1,0.00983,0,
ALL_001_F_GER_ENG_ST1,23,0,44.83,45.99,1.16,1.0,1,1.16,44.83,45.99,0.030925,0,
ALL_001_F_GER_ENG_ST1,28,0,59.11,59.4,0.29,1.0,1,0.29,59.11,59.4,0.030979,0,
ALL_001_F_GER_ENG_ST1,29,0,60.74,61.46,0.72,1.0,1,0.72,60.74,61.46,0.102645,0,
ALL_001_F_GER_ENG_ST1,32,0,67.99,68.19,0.2,1.0,1,0.2,67.99,68.19,0.019918,0,
ALL_001_F_GER_ENG_ST1,34,0,70.82,71.0,0.18,1.0,1,0.18,70.82,71.0,0.056816,0,
ALL_001_F_GER_ENG_ST1,35,0,71.46,72.18,0.72,0.4889,2,0.272,71.46,71.732,0.013137,0,
ALL_001_F_GER_ENG_ST1,35,1,71.46,72.18,0.72,0.4889,2,0.08,72.1,72.18,0.087357,0,
ALL_001_F_GER_ENG_ST1,36,0,72.59,73.25,0.66,0.8485,1,0.56,72.59,73.15,0.095051,0,
ALL_001_F_GER_ENG_ST1,37,0,74.02,74.99,0.97,1.0,1,0.97,74.02,74.99,0.044452,0,
ALL_001_F_GER_ENG_ST1,38,0,77.14,77.92,0.78,1.0,1,0.78,77.14,77.92,0.04942,0,
ALL_001_F_GER_ENG_ST1,40,0,81.23,81.69,0.46,1.0,1,0.46,81.23,81.69,0.015555,0,
ALL_001_F_GER_ENG_ST1,41,0,82.31,83.35,1.04,1.0,1,1.04,82.31,83.35,0.030949,0,
ALL_001_F_GER_ENG_ST1,42,0,85.04,85.77,0.73,1.0,1,0.73,85.04,85.77,0.074414,0,
ALL_001_F_GER_ENG_ST1,44,0,89.13,90.29,1.16,0.5241,1,0.608,89.13,89.738,0.103513,0,
ALL_001_F_GER_ENG_ST1,45,0,91.65,91.82,0.17,1.0,1,0.17,91.65,91.82,0.04486,0,
ALL_001_F_GER_ENG_ST1,46,0,92.29,92.93,0.64,1.0,1,0.64,92.29,92.93,0.028769,0,
ALL_001_F_GER_ENG_ST1,48,0,96.44,96.58,0.14,1.0,1,0.14,96.44,96.58,0.008423,0,
ALL_001_F_GER_ENG_ST1,49,0,97.05,97.43,0.38,1.0,1,0.38,97.05,97.43,0.037216,0,
ALL_001_F_GER_ENG_ST1,50,0,98.83,99.37,0.54,1.0,1,0.54,98.83,99.37,0.023896,0,
ALL_001_F_GER_ENG_ST1,52,0,102.95,103.53,0.58,0.6966,2,0.32,102.95,103.27,0.047363,0,
ALL_001_F_GER_ENG_ST1,52,1,102.95,103.53,0.58,0.6966,2,0.084,103.446,103.53,0.073445,0,
ALL_001_F_GER_ENG_ST1,53,0,104.15,104.94,0.79,0.8987,2,0.336,104.166,104.502,0.028886,0,
ALL_001_F_GER_ENG_ST1,53,1,104.15,104.94,0.79,0.8987,2,0.374,104.566,104.94,0.041206,0,
ALL_001_F_GER_ENG_ST1,55,0,107.68,108.52,0.84,1.0,1,0.84,107.68,108.52,0.070988,0,
ALL_001_F_GER_ENG_ST1,56,-1,110.09,110.95,0.86,0.1302,1,,,,,0,vad_occupancy_out_of_range
ALL_001_F_GER_ENG_ST1,57,0,111.47,111.9,0.43,1.0,1,0.43,111.47,111.9,0.00983,0,
ALL_001_F_GER_ENG_ST1,58,0,114.32,114.86,0.54,1.0,1,0.54,114.32,114.86,0.062716,0,
ALL_001_F_GER_ENG_ST1,61,0,119.69,119.82,0.13,1.0,1,0.13,119.69,119.82,0.027027,0,
ALL_001_F_GER_ENG_ST1,62,0,121.26,122.31,1.05,1.0,1,1.05,121.26,122.31,0.031277,0,
ALL_001_F_GER_ENG_ST1,64,0,125.23,125.53,0.3,0.8933,1,0.268,125.262,125.53,0.010364,0,
ALL_001_F_GER_ENG_ST1,66,0,129.04,129.67,0.63,0.2889,2,0.08,129.264,129.344,0.052194,0,
ALL_001_F_GER_ENG_ST1,66,1,129.04,129.67,0.63,0.2889,2,0.102,129.568,129.67,0.009852,0,
ALL_001_F_GER_ENG_ST1,67,0,130.32,131.12,0.8,0.48,2,0.144,130.32,130.464,0.029619,0,
ALL_001_F_GER_ENG_ST1,67,1,130.32,131.12,0.8,0.48,2,0.24,130.88,131.12,0.116169,0,
ALL_001_F_GER_ENG_ST1,68,0,132.62,133.49,0.87,1.0,1,0.87,132.62,133.49,0.052386,0,
ALL_001_F_GER_ENG_ST1,69,0,134.51,135.36,0.85,1.0,1,0.85,134.51,135.36,0.011801,0,
ALL_001_F_GER_ENG_ST1,70,0,137.28,137.8,0.52,1.0,1,0.52,137.28,137.8,0.057463,0,
ALL_001_F_GER_ENG_ST1,71,0,138.97,139.25,0.28,1.0,1,0.28,138.97,139.25,0.082417,0,
ALL_001_F_GER_ENG_ST1,72,0,139.71,139.89,0.18,1.0,1,0.18,139.71,139.89,0.020056,0,
ALL_001_F_GER_ENG_ST1,74,0,143.87,144.85,0.98,1.0,1,0.98,143.87,144.85,0.052333,0,
ALL_001_F_GER_ENG_ST1,76,0,148.27,148.81,0.54,1.0,1,0.54,148.27,148.81,0.126628,0,
