file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
EUS11-ST1,1,0,4.85,5.36,0.51,1.0,1,0.51,4.85,5.36,0.107017,0,
EUS11-ST1,2,0,6.2,7.15,0.95,1.0,1,0.95,6.2,7.15,7.4e-05,0,
EUS11-ST1,3,0,7.73,8.02,0.29,1.0,1,0.29,7.73,8.02,2.6e-05,0,
EUS11-ST1,4,0,9.33,9.85,0.52,1.0,1,0.52,9.33,9.85,0.006109,0,
EUS11-ST1,5,0,11.47,11.74,0.27,1.0,1,0.27,11.47,11.74,8.6e-05,0,
EUS11-ST1,8,0,22.87,23.35,0.48,1.0,1,0.48,22.87,23.35,0.001978,0,
EUS11-ST1,12,0,31.74,31.93,0.19,1.0,1,0.19,31.74,31.93,3e-06,0,
EUS11-ST1,14,0,34.42,34.58,0.16,1.0,1,0.16,34.42,34.58,7e-06,0,
EUS11-ST1,16,0,42.73,43.21,0.48,1.0,1,0.48,42.73,43.21,0.006819,0,
EUS11-ST1,20,0,57.52,58.1,0.58,1.0,1,0.58,57.52,58.1,0.056422,0,
EUS11-ST1,21,0,58.93,59.53,0.6,1.0,1,0.6,58.93,59.53,0.381954,0,
EUS11-ST1,23,0,65.42,66.49,1.07,1.0,1,1.07,65.42,66.49,0.042585,0,
EUS11-ST1,27,0,82.13,82.53,0.4,1.0,1,0.4,82.13,82.53,0.000754,0,
EUS11-ST1,30,0,93.72,94.85,1.13,1.0,1,1.13,93.72,94.85,0.000351,0,
EUS11-ST1,33,0,109.12,109.34,0.22,1.0,1,0.22,109.12,109.34,3e-06,0,
EUS11-ST1,36,0,117.46,118.14,0.68,1.0,1,0.68,117.46,118.14,0.217363,0,
EUS11-ST1,38,0,125.74,126.04,0.3,1.0,1,0.3,125.74,126.04,4.3e-05,0,
EUS11-ST1,40,0,133.42,133.67,0.25,1.0,1,0.25,133.42,133.67,9e-06,0,
EUS11-ST1,46,0,153.83,154.42,0.59,1.0,1,0.59,153.83,154.42,0.061604,0,
EUS11-ST1,47,0,155.54,155.73,0.19,1.0,1,0.19,155.54,155.73,5e-06,0,
EUS11-ST1,50,0,170.62,171.7,1.08,1.0,1,1.08,170.62,171.7,0.008135,0,
EUS11-ST1,51,0,173.3,174.19,0.89,1.0,1,0.89,173.3,174.19,0.015926,0,
EUS11-ST1,52,0,176.9,177.11,0.21,1.0,1,0.21,176.9,177.11,5e-06,0,
EUS11-ST1,53,0,177.44,178.61,1.17,1.0,1,1.17,177.44,178.61,0.004639,0,
EUS11-ST1,56,0,185.69,186.54,0.85,1.0,1,0.85,185.69,186.54,0.009258,0,
EUS11-ST1,58,0,192.8,193.28,0.48,1.0,1,0.48,192.8,193.28,0.031553,0,
EUS11-ST1,62,0,221.18,221.9,0.72,1.0,1,0.72,221.18,221.9,0.033681,0,
EUS11-ST1,64,0,224.93,225.17,0.24,1.0,1,0.24,224.93,225.17,1.6e-05,0,
EUS11-ST1,66,0,231.55,232.632,1.082,1.0,1,1.082,231.55,232.632,0.00243,0,
